Thickness,Na,TiO2_Th,Bulk_def,Temp,IF_def,Affinity,JsC,Voc,FF,PCE
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+11,3.70E+00,26.55587892,0.965179,74.6296,19.1285
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+11,3.90E+00,26.52442143,0.865682,75.8911,17.4259
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+11,4.10E+00,26.44235195,0.666182,72.8947,12.8407
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+12,3.70E+00,26.55566426,0.960565,74.8776,19.1001
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+12,3.90E+00,26.52422067,0.865677,75.8881,17.425
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.25E+02,1.00E+12,4.10E+00,26.44216418,0.666181,72.8941,12.8405
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+09,3.70E+00,26.55001378,0.914412,74.4223,18.068
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+09,3.90E+00,26.5053558,0.825529,75.1572,16.4451
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+09,4.10E+00,26.40439382,0.631701,71.651,11.9512
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+10,3.70E+00,26.55001138,0.914381,74.4236,18.0677
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+10,3.90E+00,26.50535361,0.825529,75.1571,16.4451
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+10,4.10E+00,26.40439178,0.631701,71.651,11.9512
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+11,3.70E+00,26.54998732,0.914082,74.4371,18.065
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+11,3.90E+00,26.50533171,0.825529,75.1569,16.445
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+11,4.10E+00,26.40437137,0.631701,71.6509,11.9511
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+12,3.70E+00,26.54974673,0.911247,74.5622,18.0391
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+12,3.90E+00,26.50511269,0.825523,75.1543,16.4442
1.00E+00,1.00E+14,2.00E-02,1.00E+15,3.50E+02,1.00E+12,4.10E+00,26.40416726,0.6317,71.6503,11.9509
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+09,3.70E+00,26.70285888,1.049748,82.4218,23.1039
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+09,3.90E+00,26.69190105,0.912016,83.0004,20.2052
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+09,4.10E+00,26.71264163,0.707457,80.0885,15.1352
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+10,3.70E+00,26.70285709,1.049553,82.4282,23.1014
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+10,3.90E+00,26.69189935,0.912016,83.0004,20.2051
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+10,4.10E+00,26.71264029,0.707457,80.0885,15.1352
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+11,3.70E+00,26.70283925,1.047659,82.4903,23.077
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+11,3.90E+00,26.69188232,0.912016,83,20.205
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+11,4.10E+00,26.71262693,0.707457,80.0885,15.1352
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+12,3.70E+00,26.70266083,1.033174,82.9222,22.877
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+12,3.90E+00,26.69171198,0.91201,82.996,20.2038
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.00E+02,1.00E+12,4.10E+00,26.71249331,0.707456,80.0879,15.135
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+09,3.70E+00,26.7053,1.006602,83.2513,22.3793
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+09,3.90E+00,26.68888082,0.875591,82.0673,19.1779
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+09,4.10E+00,26.70813001,0.672723,78.6755,14.1358
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+10,3.70E+00,26.70529801,1.006529,83.2477,22.3767
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+10,3.90E+00,26.68887896,0.875591,82.0673,19.1779
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+10,4.10E+00,26.70812855,0.672723,78.6755,14.1358
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+11,3.70E+00,26.70527805,1.005803,83.2127,22.3511
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+11,3.90E+00,26.68886037,0.87559,82.067,19.1778
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+11,4.10E+00,26.70811396,0.672723,78.6755,14.1357
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+12,3.70E+00,26.70507845,0.997727,83.0508,22.1284
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+12,3.90E+00,26.68867444,0.875585,82.0636,19.1768
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.25E+02,1.00E+12,4.10E+00,26.70796805,0.672722,78.6749,14.1356
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+09,3.70E+00,26.70806014,0.963398,83.4711,21.4775
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+09,3.90E+00,26.68618136,0.838479,81.0419,18.1338
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+09,4.10E+00,26.70271077,0.638501,77.0338,13.134
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+10,3.70E+00,26.70805791,0.963343,83.467,21.4752
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+10,3.90E+00,26.68617934,0.838479,81.0418,18.1338
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+10,4.10E+00,26.70270918,0.638501,77.0338,13.134
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+11,3.70E+00,26.7080356,0.962803,83.4268,21.4529
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+11,3.90E+00,26.68615917,0.838479,81.0415,18.1337
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+11,4.10E+00,26.70269334,0.638501,77.0337,13.134
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+12,3.70E+00,26.70781252,0.957824,83.0833,21.2539
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+12,3.90E+00,26.6859574,0.838473,81.0387,18.1328
1.00E+00,1.00E+14,3.00E-02,1.00E+12,3.50E+02,1.00E+12,4.10E+00,26.70253487,0.6385,77.0332,13.1338
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+09,3.70E+00,26.70143392,1.049135,82.2791,23.0492
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+09,3.90E+00,26.69029249,0.911921,82.9328,20.1854
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+09,4.10E+00,26.71015855,0.707385,80.0267,15.1205
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+10,3.70E+00,26.70143214,1.048943,82.2857,23.0468
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+10,3.90E+00,26.69029079,0.911921,82.9328,20.1854
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+10,4.10E+00,26.71015721,0.707385,80.0267,15.1205
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+11,3.70E+00,26.7014143,1.047073,82.3491,23.0234
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+11,3.90E+00,26.69027375,0.91192,82.9324,20.1853
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+11,4.10E+00,26.71014385,0.707385,80.0267,15.1205
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+12,3.70E+00,26.70123588,1.03275,82.7925,22.8306
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+12,3.90E+00,26.69010343,0.911915,82.9284,20.184
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.00E+02,1.00E+12,4.10E+00,26.71001025,0.707385,80.0261,15.1203
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.25E+02,1.00E+09,3.70E+00,26.70381567,1.006125,83.0667,22.3178
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.25E+02,1.00E+09,3.90E+00,26.68713933,0.875478,82.0033,19.1592
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.25E+02,1.00E+09,4.10E+00,26.70538161,0.67265,78.618,14.1224
1.00E+00,1.00E+14,3.00E-02,1.00E+13,3.25E+02,1.00E+10,3.70E+00,26.70381367,1.006052,83.0635,22.3154
